"CITY","PIONEER_COUNT","REGIONAL_SHARE"
YOZGAT,2,"5.71%"
GAZİANTEP,2,"5.71%"
ANTALYA,2,"5.71%"
SAKARYA,2,"5.71%"
ŞIRNAK,2,"5.71%"
KAHRAMANMARAŞ,1,"2.86%"
SİNOP,1,"2.86%"
AĞRI,1,"2.86%"
KARABÜK,1,"2.86%"
HATAY,1,"2.86%"
ANKARA,1,"2.86%"
ORDU,1,"2.86%"
KAYSERİ,1,"2.86%"
AYDIN,1,"2.86%"
AFYONKARAHİSAR,1,"2.86%"
ISPARTA,1,"2.86%"
ADIYAMAN,1,"2.86%"
SAMSUN,1,"2.86%"
KIRIKKALE,1,"2.86%"
HAKKARİ,1,"2.86%"
İSTANBUL,1,"2.86%"
KIRŞEHİR,1,"2.86%"
YALOVA,1,"2.86%"
KONYA,1,"2.86%"
ÇANKIRI,1,"2.86%"
BURSA,1,"2.86%"
NİĞDE,1,"2.86%"
KIRKLARELİ,1,"2.86%"
BİTLİS,1,"2.86%"
ZONGULDAK,1,"2.86%"
