"CITY","APRIL_CUSTOMER_COUNT","REGIONAL_SHARE"
RİZE,17,%2.66
IĞDIR,13,%2.03
DÜZCE,13,%2.03
BİLECİK,13,%2.03
BALIKESİR,13,%2.03
GAZİANTEP,13,%2.03
ŞIRNAK,12,%1.88
ADIYAMAN,12,%1.88
OSMANİYE,11,%1.72
ELAZIĞ,11,%1.72
ZONGULDAK,11,%1.72
HAKKARİ,11,%1.72
KÜTAHYA,11,%1.72
TUNCELİ,11,%1.72
SAKARYA,11,%1.72
YOZGAT,11,%1.72
KIRKLARELİ,11,%1.72
SAMSUN,11,%1.72
İZMİR,11,%1.72
KONYA,10,%1.56
MUĞLA,10,%1.56
MERSİN,10,%1.56
UŞAK,10,%1.56
ÇANKIRI,10,%1.56
HATAY,9,%1.41
ARTVİN,9,%1.41
VAN,9,%1.41
ANTALYA,8,%1.25
AMASYA,8,%1.25
ANKARA,8,%1.25
YALOVA,8,%1.25
ERZURUM,8,%1.25
AYDIN,8,%1.25
SİİRT,8,%1.25
ORDU,8,%1.25
TEKİRDAĞ,8,%1.25
İSTANBUL,8,%1.25
SİNOP,8,%1.25
EDİRNE,8,%1.25
ADANA,7,%1.09
BİNGÖL,7,%1.09
ISPARTA,7,%1.09
KIRIKKALE,7,%1.09
BAYBURT,7,%1.09
NEVŞEHİR,7,%1.09
KARABÜK,7,%1.09
BATMAN,7,%1.09
ERZİNCAN,7,%1.09
KASTAMONU,7,%1.09
BİTLİS,7,%1.09
AFYONKARAHİSAR,7,%1.09
KAHRAMANMARAŞ,6,%0.94
BURDUR,6,%0.94
KIRŞEHİR,6,%0.94
BURSA,6,%0.94
MALATYA,6,%0.94
BARTIN,6,%0.94
DİYARBAKIR,6,%0.94
MUŞ,6,%0.94
KAYSERİ,6,%0.94
GÜMÜŞHANE,6,%0.94
SİVAS,6,%0.94
GİRESUN,6,%0.94
ESKİŞEHİR,6,%0.94
BOLU,6,%0.94
TRABZON,6,%0.94
KOCAELİ,5,%0.78
MANİSA,5,%0.78
ŞANLIURFA,5,%0.78
NİĞDE,5,%0.78
AĞRI,5,%0.78
MARDİN,5,%0.78
AKSARAY,5,%0.78
ARDAHAN,5,%0.78
TOKAT,4,%0.63
DENİZLİ,4,%0.63
ÇANAKKALE,4,%0.63
ÇORUM,4,%0.63
KİLİS,4,%0.63
KARAMAN,3,%0.47
KARS,3,%0.47
