"CITY","MISSING_RECORD_COUNT","GAP_SHARE"
OSMANİYE,3,%6.00
BİTLİS,2,%4.00
İZMİR,2,%4.00
ORDU,2,%4.00
DENİZLİ,2,%4.00
MUŞ,2,%4.00
NEVŞEHİR,2,%4.00
KAYSERİ,2,%4.00
SİVAS,2,%4.00
KIRIKKALE,2,%4.00
YALOVA,1,%2.00
MANİSA,1,%2.00
HATAY,1,%2.00
MARDİN,1,%2.00
KARAMAN,1,%2.00
BURDUR,1,%2.00
KONYA,1,%2.00
ERZURUM,1,%2.00
ESKİŞEHİR,1,%2.00
ÇANKIRI,1,%2.00
ŞIRNAK,1,%2.00
KARABÜK,1,%2.00
TEKİRDAĞ,1,%2.00
KIRŞEHİR,1,%2.00
GAZİANTEP,1,%2.00
SİİRT,1,%2.00
GİRESUN,1,%2.00
ADANA,1,%2.00
BURSA,1,%2.00
SAKARYA,1,%2.00
KOCAELİ,1,%2.00
ANTALYA,1,%2.00
ARDAHAN,1,%2.00
NİĞDE,1,%2.00
GÜMÜŞHANE,1,%2.00
DÜZCE,1,%2.00
KIRKLARELİ,1,%2.00
AĞRI,1,%2.00
SAMSUN,1,%2.00
